epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,262.21,0.52835,0.385,1.04284,0.99317,0.98075,0.99291,0.91123,0.44183,0.33638,0.93348,0.000990365,0.000990365,0.000990365
43,268.593,0.54783,0.40279,1.05501,0.99586,0.99367,0.99068,0.89322,0.46779,0.32089,0.94667,0.000973861,0.000973861,0.000973861
44,274.981,0.52255,0.38808,1.04898,0.99271,0.98101,0.99366,0.90678,0.45901,0.30625,0.95961,0.000957358,0.000957358,0.000957358
45,281.447,0.53317,0.39413,1.05482,0.98774,0.98585,0.99382,0.90859,0.43159,0.31199,0.9391,0.000940855,0.000940855,0.000940855
46,288.089,0.5268,0.39896,1.04707,0.98629,0.98734,0.99294,0.9052,0.43847,0.33081,0.92873,0.000924352,0.000924352,0.000924352
47,294.683,0.53021,0.39149,1.05676,0.95946,0.99367,0.99033,0.90119,0.4371,0.34238,0.92521,0.000907848,0.000907848,0.000907848
48,301.073,0.54253,0.38826,1.05847,0.97724,0.97286,0.98667,0.90514,0.44191,0.31531,0.93951,0.000891345,0.000891345,0.000891345
49,307.654,0.52264,0.38488,1.03533,0.98054,0.98557,0.99041,0.90558,0.45628,0.35549,0.93825,0.000874842,0.000874842,0.000874842
50,313.993,0.51766,0.3834,1.03548,0.99602,0.9557,0.99177,0.90149,0.47428,0.32218,0.974,0.000858338,0.000858338,0.000858338
51,320.441,0.51685,0.38096,1.03882,0.97482,0.98109,0.98974,0.91272,0.42592,0.3296,0.92258,0.000841835,0.000841835,0.000841835
52,327.103,0.50142,0.36156,1.02654,0.97582,0.99338,0.99018,0.92045,0.40466,0.30224,0.90431,0.000825332,0.000825332,0.000825332
53,333.5,0.49961,0.36784,1.03361,0.99294,0.98734,0.99139,0.91513,0.40699,0.30016,0.91313,0.000808828,0.000808828,0.000808828
54,339.763,0.50863,0.37162,1.04839,0.98575,0.99293,0.9911,0.90307,0.43625,0.304,0.94609,0.000792325,0.000792325,0.000792325
55,346.368,0.49571,0.36399,1.02095,0.98327,0.98101,0.98831,0.91797,0.41281,0.29989,0.92328,0.000775822,0.000775822,0.000775822
56,352.651,0.47387,0.33963,1.01572,0.98607,0.98101,0.98522,0.90551,0.42856,0.2854,0.95443,0.000759318,0.000759318,0.000759318
57,359.236,0.4962,0.35019,1.0293,0.99102,0.98734,0.98706,0.90625,0.416,0.27597,0.94093,0.000742815,0.000742815,0.000742815
58,366.131,0.47619,0.35767,1.00988,0.99747,0.97883,0.98761,0.91424,0.4163,0.27127,0.95121,0.000726312,0.000726312,0.000726312
59,373.276,0.47289,0.35675,1.00691,0.99555,0.98101,0.98629,0.91559,0.39733,0.26778,0.92612,0.000709809,0.000709809,0.000709809
60,380.493,0.48537,0.34876,1.02236,0.98632,0.98996,0.99244,0.92338,0.38839,0.29439,0.90482,0.000693305,0.000693305,0.000693305
61,387.592,0.46602,0.33128,0.99991,0.99682,0.98734,0.9915,0.93148,0.38035,0.26868,0.89484,0.000676802,0.000676802,0.000676802
62,394.241,0.45729,0.3239,0.98931,0.99639,0.98101,0.99148,0.92677,0.37818,0.2886,0.88649,0.000660299,0.000660299,0.000660299
63,400.693,0.45488,0.33266,1.00456,0.99319,0.99367,0.99258,0.92319,0.40311,0.27254,0.9049,0.000643795,0.000643795,0.000643795
64,407.055,0.45638,0.33134,0.99576,0.98261,0.99367,0.98821,0.91304,0.41847,0.28545,0.92867,0.000627292,0.000627292,0.000627292
65,413.418,0.44505,0.32164,0.98845,0.99523,0.98101,0.98772,0.9211,0.40538,0.26567,0.92782,0.000610789,0.000610789,0.000610789
66,419.874,0.43868,0.33561,0.99136,0.99705,0.98545,0.98783,0.9238,0.37855,0.26896,0.89644,0.000594286,0.000594286,0.000594286
67,426.395,0.45091,0.32275,0.99505,0.99774,0.98101,0.98894,0.92367,0.38645,0.26131,0.89776,0.000577782,0.000577782,0.000577782
68,432.89,0.44038,0.3209,0.99843,0.99158,0.98424,0.99437,0.93605,0.37291,0.24316,0.88813,0.000561279,0.000561279,0.000561279
69,439.417,0.44331,0.31544,0.97781,0.98985,0.98734,0.99133,0.93126,0.37312,0.26199,0.89546,0.000544776,0.000544776,0.000544776
70,445.231,0.42427,0.30873,0.97889,0.99703,0.97468,0.9877,0.93102,0.39425,0.25685,0.91391,0.000528272,0.000528272,0.000528272
71,452.238,0.43439,0.31662,0.9926,0.9774,0.98734,0.99343,0.94044,0.37308,0.25274,0.88579,0.000511769,0.000511769,0.000511769
72,458.345,0.42507,0.30466,0.97822,0.98857,0.99367,0.99167,0.93727,0.37531,0.25488,0.88412,0.000495266,0.000495266,0.000495266
73,464.461,0.4402,0.30359,1.0003,0.9929,0.99367,0.99207,0.94149,0.35258,0.25745,0.86902,0.000478762,0.000478762,0.000478762
74,470.702,0.41904,0.30048,0.9711,0.99637,0.99036,0.99248,0.94403,0.34881,0.2497,0.86607,0.000462259,0.000462259,0.000462259
75,476.918,0.40811,0.29887,0.98048,0.98509,0.99367,0.99427,0.94214,0.35308,0.24312,0.86519,0.000445756,0.000445756,0.000445756
76,482.948,0.40859,0.29647,0.97812,0.98414,0.98101,0.98771,0.93433,0.36668,0.24402,0.87992,0.000429253,0.000429253,0.000429253
77,488.675,0.41365,0.29233,0.9794,0.98069,0.98027,0.98758,0.93077,0.37179,0.25952,0.89996,0.000412749,0.000412749,0.000412749
78,495.343,0.40832,0.29295,0.9708,0.99703,0.97424,0.99331,0.93237,0.35652,0.24751,0.88509,0.000396246,0.000396246,0.000396246
79,501.328,0.4029,0.28682,0.97457,0.97996,0.98344,0.99175,0.93578,0.36676,0.24937,0.88779,0.000379743,0.000379743,0.000379743
80,507.748,0.41053,0.30052,0.97416,0.99112,0.98101,0.99039,0.93462,0.35902,0.26664,0.88524,0.000363239,0.000363239,0.000363239
81,513.687,0.41462,0.28987,0.98649,0.99781,0.98648,0.99361,0.93294,0.34778,0.24344,0.86963,0.000346736,0.000346736,0.000346736
82,520.258,0.39883,0.2771,0.96783,0.9885,0.98101,0.99341,0.93084,0.36114,0.24535,0.88111,0.000330233,0.000330233,0.000330233
83,526.831,0.39197,0.28199,0.96731,0.98386,0.99367,0.99371,0.93889,0.3555,0.24316,0.87235,0.000313729,0.000313729,0.000313729
84,532.928,0.38951,0.27689,0.97264,0.99045,0.99367,0.99271,0.94,0.35521,0.24148,0.87059,0.000297226,0.000297226,0.000297226
85,539.333,0.40145,0.28727,0.97432,0.99037,0.98734,0.99328,0.94238,0.34919,0.23317,0.86066,0.000280723,0.000280723,0.000280723
86,545.136,0.39397,0.27699,0.97727,0.99662,0.98734,0.99242,0.94731,0.33373,0.2252,0.84549,0.00026422,0.00026422,0.00026422
87,551.036,0.38682,0.27489,0.96317,0.99635,0.98734,0.99309,0.94985,0.32831,0.22684,0.84304,0.000247716,0.000247716,0.000247716
88,556.863,0.39141,0.2806,0.97212,0.98329,0.98828,0.9917,0.94833,0.3258,0.23503,0.83911,0.000231213,0.000231213,0.000231213
89,563.301,0.37968,0.26417,0.96484,0.98341,0.98676,0.99361,0.94546,0.3372,0.23215,0.8555,0.00021471,0.00021471,0.00021471
90,569.353,0.39108,0.269,0.96596,0.98051,0.99073,0.9942,0.94826,0.32901,0.23292,0.8542,0.000198206,0.000198206,0.000198206
