epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,140.285,0.92629,0.89677,1.36067,0.88528,0.85495,0.93586,0.68686,1.00789,0.76931,1.41173,0.00079705,0.00079705,0.00079705
43,143.246,0.88264,0.83064,1.32658,0.81735,0.90227,0.96158,0.76879,0.73751,0.694,1.19354,0.0007921,0.0007921,0.0007921
44,146.428,0.90241,0.84778,1.34345,0.85227,0.84016,0.95164,0.71152,0.89567,0.81688,1.36334,0.00078715,0.00078715,0.00078715
45,149.463,0.85934,0.81076,1.30678,0.95229,0.98122,0.98359,0.79097,0.77239,0.56493,1.25827,0.0007822,0.0007822,0.0007822
46,152.455,0.85969,0.7726,1.29229,0.9346,0.94081,0.97972,0.79945,0.77603,0.60979,1.251,0.00077725,0.00077725,0.00077725
47,155.772,0.80276,0.72829,1.26881,0.95289,0.91601,0.98764,0.78227,0.82454,0.54457,1.28334,0.0007723,0.0007723,0.0007723
48,158.974,0.88444,0.82445,1.33187,0.93191,0.97308,0.98975,0.79921,0.78765,0.5049,1.25052,0.00076735,0.00076735,0.00076735
49,161.997,0.81289,0.7217,1.25165,0.83759,0.90896,0.93248,0.73533,0.75552,0.69948,1.24257,0.0007624,0.0007624,0.0007624
50,165.085,0.82821,0.74205,1.28351,0.91405,0.90184,0.95926,0.72971,0.8927,0.64434,1.33219,0.00075745,0.00075745,0.00075745
51,168.188,0.84982,0.77323,1.30176,0.94831,0.94988,0.97243,0.7525,0.87852,0.563,1.3077,0.0007525,0.0007525,0.0007525
52,171.212,0.84682,0.75533,1.29776,0.94344,0.94187,0.98228,0.76432,0.86425,0.55892,1.28544,0.00074755,0.00074755,0.00074755
53,174.47,0.82854,0.76185,1.27715,0.87643,0.90233,0.95698,0.74431,0.87948,0.69387,1.31252,0.0007426,0.0007426,0.0007426
54,177.773,0.84806,0.8119,1.33044,0.90151,0.93415,0.96038,0.75362,0.88868,0.68378,1.33267,0.00073765,0.00073765,0.00073765
55,180.748,0.81449,0.78336,1.27065,0.89358,0.93512,0.95498,0.80437,0.71541,0.62852,1.18398,0.0007327,0.0007327,0.0007327
56,183.799,0.85227,0.78897,1.31552,0.92559,0.93015,0.96539,0.76385,0.84228,0.61384,1.30032,0.00072775,0.00072775,0.00072775
57,186.932,0.83193,0.79197,1.28026,0.96045,0.91688,0.97989,0.7855,0.75445,0.6835,1.24701,0.0007228,0.0007228,0.0007228
58,189.914,0.79005,0.78005,1.26587,0.8932,0.92646,0.96913,0.77219,0.79524,0.66663,1.24999,0.00071785,0.00071785,0.00071785
59,193.188,0.811,0.71907,1.26455,0.92077,0.93396,0.97145,0.79574,0.73492,0.56946,1.19729,0.0007129,0.0007129,0.0007129
60,196.333,0.81559,0.73458,1.26596,0.93552,0.92731,0.97659,0.79211,0.75413,0.5394,1.23746,0.00070795,0.00070795,0.00070795
61,199.344,0.77878,0.70279,1.26049,0.93232,0.89935,0.97257,0.78256,0.77187,0.55227,1.24312,0.000703,0.000703,0.000703
62,202.446,0.81689,0.69074,1.25391,0.94153,0.91619,0.97314,0.79962,0.69984,0.56791,1.18555,0.00069805,0.00069805,0.00069805
63,205.557,0.79541,0.68698,1.25464,0.86541,0.96256,0.97593,0.79155,0.76918,0.55725,1.23977,0.0006931,0.0006931,0.0006931
64,208.571,0.80348,0.67462,1.25589,0.86718,0.91928,0.93757,0.76252,0.70445,0.63524,1.21242,0.00068815,0.00068815,0.00068815
65,211.85,0.79418,0.69244,1.26027,0.87486,0.95658,0.97095,0.78575,0.75697,0.52774,1.2373,0.0006832,0.0006832,0.0006832
66,215.076,0.78767,0.65367,1.23448,0.95132,0.98691,0.99046,0.81447,0.67641,0.44796,1.14241,0.00067825,0.00067825,0.00067825
67,218.098,0.8125,0.66266,1.24494,0.9538,0.97466,0.9874,0.82579,0.64947,0.45717,1.11391,0.0006733,0.0006733,0.0006733
68,221.313,0.81194,0.68178,1.26813,0.9385,0.92377,0.96599,0.78931,0.72478,0.57297,1.16429,0.00066835,0.00066835,0.00066835
