epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,97.0373,0.37196,0.57242,0.86215,0.78049,0.92755,0.94425,0.90142,0.32521,0.57094,0.86878,0.0007294,0.0007294,0.0007294
43,99.2271,0.38237,0.57747,0.87212,0.69706,0.73303,0.79595,0.73688,0.38715,1.08824,0.88306,0.0007228,0.0007228,0.0007228
44,101.418,0.39745,0.56824,0.88653,0.74652,0.67774,0.79396,0.7516,0.30413,1.35799,0.85805,0.0007162,0.0007162,0.0007162
45,103.649,0.38898,0.62013,0.87491,0.79445,0.83658,0.87187,0.82164,0.30452,0.74532,0.85239,0.0007096,0.0007096,0.0007096
46,105.755,0.37732,0.59432,0.87718,0.86218,0.84901,0.91961,0.88151,0.32904,0.5936,0.86977,0.000703,0.000703,0.000703
47,108.025,0.38484,0.53176,0.88517,0.92976,0.96017,0.96012,0.9217,0.31941,0.41812,0.86208,0.0006964,0.0006964,0.0006964
48,110.455,0.36144,0.55074,0.88028,0.88875,0.88061,0.947,0.90074,0.33747,0.56927,0.86371,0.0006898,0.0006898,0.0006898
49,112.791,0.3705,0.52388,0.88282,0.83236,0.87515,0.91127,0.87577,0.3073,0.71213,0.85664,0.0006832,0.0006832,0.0006832
50,114.984,0.38353,0.57973,0.88051,0.85887,0.79102,0.91504,0.86692,0.3327,0.66506,0.87424,0.0006766,0.0006766,0.0006766
51,117.125,0.39057,0.53342,0.87613,0.89476,0.86236,0.92937,0.88338,0.3182,0.57644,0.87655,0.00067,0.00067,0.00067
52,119.491,0.38936,0.51552,0.89254,0.92229,0.97583,0.97778,0.93544,0.32763,0.39875,0.87377,0.0006634,0.0006634,0.0006634
53,121.733,0.39056,0.48333,0.8876,0.92504,0.92762,0.95865,0.91813,0.32511,0.4503,0.87131,0.0006568,0.0006568,0.0006568
54,123.933,0.39352,0.55513,0.88599,0.914,0.8322,0.88092,0.82878,0.32225,0.6705,0.86884,0.0006502,0.0006502,0.0006502
55,126.08,0.38355,0.51345,0.86937,0.83454,0.87485,0.9175,0.87549,0.30942,0.5265,0.86271,0.0006436,0.0006436,0.0006436
56,128.4,0.39548,0.50283,0.87335,0.73543,0.96226,0.91842,0.87826,0.31178,0.53472,0.86361,0.000637,0.000637,0.000637
57,130.858,0.40248,0.49131,0.87983,0.75357,0.89958,0.90513,0.86799,0.30822,0.62398,0.86178,0.0006304,0.0006304,0.0006304
58,133.136,0.38273,0.53016,0.88691,0.82725,0.86554,0.90179,0.86408,0.31213,0.59487,0.86522,0.0006238,0.0006238,0.0006238
59,135.362,0.37805,0.46742,0.87916,0.91499,0.86014,0.92543,0.88038,0.3305,0.61383,0.86923,0.0006172,0.0006172,0.0006172
60,137.643,0.3549,0.45853,0.864,0.92461,0.90405,0.95424,0.92112,0.30434,0.46909,0.86514,0.0006106,0.0006106,0.0006106
61,139.958,0.3813,0.48122,0.89191,0.8587,0.91461,0.9432,0.90341,0.31599,0.53987,0.87062,0.000604,0.000604,0.000604
62,142.188,0.37636,0.57515,0.88366,0.9202,0.86263,0.94566,0.90616,0.31404,0.48472,0.86523,0.0005974,0.0005974,0.0005974
63,144.348,0.37231,0.4655,0.88474,0.85174,0.78482,0.90054,0.86632,0.29627,0.58848,0.86481,0.0005908,0.0005908,0.0005908
64,146.654,0.34468,0.50182,0.87884,0.6861,0.89345,0.87317,0.83141,0.31597,0.642,0.86331,0.0005842,0.0005842,0.0005842
65,149.024,0.37404,0.46465,0.86776,0.77121,0.76019,0.84902,0.80807,0.29932,0.7399,0.85859,0.0005776,0.0005776,0.0005776
66,151.406,0.39055,0.47514,0.87863,0.86323,0.80286,0.89665,0.85589,0.29925,0.62712,0.85671,0.000571,0.000571,0.000571
67,153.573,0.36153,0.47276,0.86702,0.84256,0.90659,0.94798,0.91125,0.27351,0.45543,0.84521,0.0005644,0.0005644,0.0005644
68,155.733,0.35931,0.49352,0.8719,0.83471,0.85244,0.90621,0.86811,0.281,0.56376,0.8457,0.0005578,0.0005578,0.0005578
69,158.111,0.34516,0.44584,0.85504,0.81898,0.94118,0.92296,0.88401,0.29843,0.52222,0.85456,0.0005512,0.0005512,0.0005512
70,160.313,0.33934,0.40709,0.86,0.86168,0.89432,0.91327,0.87555,0.27192,0.51434,0.84874,0.0005446,0.0005446,0.0005446
71,162.396,0.35598,0.42411,0.86079,0.85153,0.84476,0.91655,0.86784,0.30368,0.53907,0.85613,0.000538,0.000538,0.000538
72,164.514,0.37154,0.41412,0.87383,0.83884,0.89544,0.94801,0.90167,0.31688,0.56555,0.86427,0.0005314,0.0005314,0.0005314
73,166.74,0.37077,0.49937,0.87638,0.93185,0.94839,0.97214,0.93775,0.27414,0.3978,0.85289,0.0005248,0.0005248,0.0005248
74,169.156,0.36628,0.40596,0.88826,0.94252,0.93899,0.97629,0.93707,0.2967,0.35811,0.8587,0.0005182,0.0005182,0.0005182
75,171.297,0.37016,0.42854,0.87474,0.9721,0.95188,0.98742,0.9489,0.28394,0.34883,0.85057,0.0005116,0.0005116,0.0005116
76,173.472,0.33949,0.4079,0.86194,0.9734,0.98182,0.97393,0.94304,0.28164,0.3501,0.85237,0.000505,0.000505,0.000505
77,175.724,0.3336,0.42249,0.87734,0.91292,0.94607,0.96307,0.9273,0.28698,0.4121,0.85409,0.0004984,0.0004984,0.0004984
78,177.991,0.34231,0.39046,0.86179,0.8625,0.88617,0.93209,0.89478,0.27527,0.55345,0.84977,0.0004918,0.0004918,0.0004918
79,180.13,0.37447,0.37707,0.8724,0.86486,0.88777,0.93237,0.89937,0.29111,0.51294,0.85781,0.0004852,0.0004852,0.0004852
80,182.261,0.36573,0.41322,0.88028,0.86813,0.90898,0.9435,0.90528,0.27969,0.50127,0.8508,0.0004786,0.0004786,0.0004786
81,184.573,0.36071,0.36364,0.86399,0.92798,0.90867,0.96315,0.92022,0.30956,0.42491,0.85657,0.000472,0.000472,0.000472
82,186.947,0.35416,0.37579,0.87293,0.91685,0.93259,0.96617,0.92882,0.2835,0.40391,0.8548,0.0004654,0.0004654,0.0004654
83,189.215,0.34105,0.35526,0.86333,0.91632,0.86383,0.94866,0.91128,0.29343,0.41928,0.86167,0.0004588,0.0004588,0.0004588
84,191.338,0.35954,0.34631,0.89005,0.92885,0.86516,0.95561,0.92459,0.27834,0.39635,0.85913,0.0004522,0.0004522,0.0004522
85,193.561,0.33854,0.36732,0.85849,0.84341,0.96071,0.94809,0.90819,0.3043,0.41083,0.86387,0.0004456,0.0004456,0.0004456
86,195.868,0.35354,0.35533,0.87704,0.84131,0.92636,0.92563,0.89118,0.27893,0.4677,0.86142,0.000439,0.000439,0.000439
87,198.076,0.35425,0.35246,0.8742,0.85368,0.88001,0.92406,0.89012,0.29098,0.47296,0.86693,0.0004324,0.0004324,0.0004324
88,200.208,0.33414,0.33875,0.87174,0.90206,0.83001,0.92978,0.89445,0.29344,0.48857,0.86397,0.0004258,0.0004258,0.0004258
89,202.429,0.31786,0.36402,0.86971,0.88785,0.82526,0.92752,0.89353,0.28483,0.48316,0.86578,0.0004192,0.0004192,0.0004192
90,204.77,0.3397,0.36995,0.88272,0.95614,0.79912,0.93866,0.89701,0.28647,0.43324,0.86492,0.0004126,0.0004126,0.0004126
91,207.178,0.3272,0.36651,0.85605,0.94629,0.85667,0.95965,0.92349,0.27978,0.42938,0.85916,0.000406,0.000406,0.000406
92,209.39,0.35939,0.34024,0.87069,0.89869,0.86169,0.93808,0.90364,0.28525,0.41751,0.85571,0.0003994,0.0003994,0.0003994
93,211.556,0.34113,0.33667,0.86056,0.90377,0.9023,0.93178,0.89586,0.28558,0.45182,0.85585,0.0003928,0.0003928,0.0003928
94,213.886,0.33329,0.35837,0.87884,0.89947,0.89334,0.94041,0.9095,0.26281,0.48011,0.85006,0.0003862,0.0003862,0.0003862
